partner_name,url_slug,full_url,date_scraped,partner_website,portal_detected,portal_type,portal_url,owner_portal_type,owner_portal_url,detection_method,date_portal_detected
Avalon Property Management,avalon,https://www.secondnature.com/property-management/avalon,2026-03-13,http://avalonpropertymanagement.net/,true,AppFolio,https://avalonpm.appfolio.com/connect/users/sign_in,,,tenant login (link),
Arizona Equity Properties,az-equity-properties,https://www.secondnature.com/property-management/az-equity-properties,2026-03-13,http://azequityproperties.com/,true,Propertyware,https://azequityproperties.propertyware.com/tenants.html,,,tenant login (link),
AZ Rental Homes,azrental,https://www.secondnature.com/property-management/azrental,2026-03-13,http://azrentalhomes.com/,true,Rentvine,,,,,
b7 Properties,b7-properties,https://www.secondnature.com/property-management/b7-properties,2026-03-13,http://www.b7properties.com/,true,Likely: app.junipersquare.com,https://app.junipersquare.com/login,,,juniper square login — unidentified portal,
Bartomeo Property Management,bartomeo,https://www.secondnature.com/property-management/bartomeo,2026-03-13,http://bartomeo.com/,true,Likely: bartomeo.com,https://www.bartomeo.com/#login,,,login or signup — unidentified portal,
Bayou State Property Management,bayou-state,https://www.secondnature.com/property-management/bayou-state,2026-03-13,http://bayoustatepropertymanagement.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Beach Sunsets Inc.,beach-sunsets,https://www.secondnature.com/property-management/beach-sunsets,2026-03-13,http://beachsunsetsrealty.com/,true,AppFolio,https://beachsunsets.appfolio.com/connect/users/sign_in,AppFolio,https://beachsunsets.appfolio.com/connect/users/sign_in,tenant login (link),
Belmont Management Group,belmont,https://www.secondnature.com/property-management/belmont,2026-03-13,http://www.belmontmanagementgroup.com/,true,AppFolio,https://passport.appf.io/sign_in?idp_type=tportal&vhostless=true,AppFolio,https://belmont.appfolio.com/oportal/users/log_in,tenant portal (link) via page-source,
Benchmark Properties,benchmark-properties,https://www.secondnature.com/property-management/benchmark-properties,2026-03-13,http://www.benchmark87.com/,true,Rent Manager,http://www.benchmark87.com/,,,page source scan,
BHHS PenFed Realty - Property Management Division,bhhs-penfed-realty,https://www.secondnature.com/property-management/bhhs-penfed-realty,2026-03-13,http://www.penfedpropertymanagement.com/,true,AppFolio,https://www.penfedpropertymanagement.com/tenant-portal,,,tenant portal (link) via page-source,
BHHS RW Towne Property Management,bhhs-rw-towne,https://www.secondnature.com/property-management/bhhs-rw-towne,2026-03-13,http://www.rwtrent.com/,true,AppFolio,http://www.rwtrent.com/,,,page source scan,
"Birch Haven Management, LLC",birch-haven,https://www.secondnature.com/property-management/birch-haven,2026-03-13,http://birchhaven.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Birch Real Estate Services,birch-res,https://www.secondnature.com/property-management/birch-res,2026-03-13,http://birchrealestateservices.com/,true,AppFolio,https://birchrealestate.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v2&utm_campaign=tportal_login,AppFolio,https://birchrealestateservices.com/owner/owner-statement,pay rent (link),
Blackstream Property Management,blackstream,https://www.secondnature.com/property-management/blackstream,2026-03-13,http://blackstreampm.com/,true,AppFolio,http://blackstreampm.com/,,,page source scan,
Blaze Property Management LLC,blaze,https://www.secondnature.com/property-management/blaze,2026-03-13,http://blazeproperty.com/,true,AppFolio,,,,,
Bloom Real Estate,bloom-re,https://www.secondnature.com/property-management/bloom-re,2026-03-13,http://www.bloomhomesok.com/,true,AppFolio,http://www.bloomhomesok.com/,,,page source scan,
Blue Sail Property Management,blue-sail,https://www.secondnature.com/property-management/blue-sail,2026-03-13,http://www.bluesailpm.com/,false,Confirmed None,,,,exhaustive check — no portal found,
BlueSky Property Management,blue-sky,https://www.secondnature.com/property-management/blue-sky,2026-03-13,http://www.blueskypm.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Blue Sky Homes,blue-sky-homes,https://www.secondnature.com/property-management/blue-sky-homes,2026-03-13,http://www.blueskyhomes.com/,true,AppFolio,,,,,
Blue Sky Property Management Services LLC,blue-sky-orlando,https://www.secondnature.com/property-management/blue-sky-orlando,2026-03-13,http://www.blueskyorlando.com/,true,AppFolio,https://www.blueskyorlando.com/#,,,online portals (link) via page-source,
PMI Bmore Metro,bmoremetro,https://www.secondnature.com/property-management/bmoremetro,2026-03-13,http://pmibmoremetro.com/,true,Rentvine,,,,,
BMP Property Management,bmp,https://www.secondnature.com/property-management/bmp,2026-03-13,http://bmppropertymgmt.com/,true,Buildium,https://bmpprops.managebuilding.com/Resident/apps/portal,,,sign in (link),
Bob Gunson Real Estate,bob-gunson,https://www.secondnature.com/property-management/bob-gunson,2026-03-13,http://bobgunson.com/,true,AppFolio,https://bobgunsonre.appfolio.com/connect/,,,login (link),
The Boutique Real Estate Group,boutique-reg,https://www.secondnature.com/property-management/boutique-reg,2026-03-13,http://theboutiquerealestategroup.com/,true,Rentvine,https://theboutiquegroup.rentvine.com/portals/resident/,Rentvine,https://theboutiquegroup.rentvine.com/portals/resident/,tenant login (link),2026-06-01
Best Property Management of TN and GA,bpm-chatt,https://www.secondnature.com/property-management/bpm-chatt,2026-03-13,http://www.bpmofchatt.com/,true,AppFolio,https://bestpmchattanooga.appfolio.com/oportal/users/log_in,,,login for owners (link),
Branch Property Management,branch,https://www.secondnature.com/property-management/branch,2026-03-13,http://www.branchpropertymanagement.com/,true,Buildium,http://www.branchpropertymanagement.com/,,,page source scan,
West USA Realty - Brandon Edwards,brandon-edwards,https://www.secondnature.com/property-management/brandon-edwards,2026-03-13,http://westusa.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Brandywine Homes,brandywine-homes,https://www.secondnature.com/property-management/brandywine-homes,2026-03-13,http://www.brandywinehomesusa.com/,true,Yardi,http://www.brandywinehomesusa.com/,,,page source scan,
Breeden Real Estate,breeden,https://www.secondnature.com/property-management/breeden,2026-03-13,http://breedenrealestate.com/,true,Buildium,https://breedenrealestate.managebuilding.com/Resident/portal/login,Buildium,https://www.breedenrealestate.com/#,tenant login (link),2026-04-20
Brentwood Property Group,brentwood,https://www.secondnature.com/property-management/brentwood,2026-03-13,http://brentwoodpropertygroup.com/,true,Buildium,http://brentwoodpropertygroup.com/,,,page source scan,
Brick and Bloom Property Management,brick-and-bloom,https://www.secondnature.com/property-management/brick-and-bloom,2026-03-13,http://www.brickandbloompm.com/,true,AppFolio,,,,,
BricksFolios,bricks-folios,https://www.secondnature.com/property-management/bricks-folios,2026-03-13,http://www.bricksfolios.com/,true,ShowMojo,http://www.bricksfolios.com/,,,page source scan,
Brickyard Property Management,brickyard,https://www.secondnature.com/property-management/brickyard,2026-03-13,http://brickyardpropertymanagement.com/,true,Rentvine,https://brickyardpm.rentvine.com/portals/resident/,,,pay rent (link),
Bridge Homes,bridge-homes,https://www.secondnature.com/property-management/bridge-homes,2026-03-13,http://www.bridgehomes.com/,true,Propertyware,https://www.bridgehomes.com/resident-portal,,,resident portal (link) via page-source,
Brigs,brigs,https://www.secondnature.com/property-management/brigs,2026-03-13,http://brigsllc.com/,true,AppFolio,http://brigsllc.com/,,,page source scan,
BTS Properties,bts,https://www.secondnature.com/property-management/bts,2026-03-13,http://btspeoria.com/,true,Rentvine,,,,,
Bullhook Property Management LLC,bullhook,https://www.secondnature.com/property-management/bullhook,2026-03-13,http://www.werentmt.com/,true,AppFolio,https://bullhookpm.appfolio.com/connect,,,tenants login (link),
Cabrillo Properties,cabrillo-properties,https://www.secondnature.com/property-management/cabrillo-properties,2026-03-13,http://www.cabrilloproperties.com/,true,AppFolio,,,,,
CAL Property Management,cal,https://www.secondnature.com/property-management/cal,2026-03-13,http://www.calpropertymanagement.com/,true,AppFolio,,,,,
Caldwell Property Management,caldwell,https://www.secondnature.com/property-management/caldwell,2026-03-13,http://caldwellaz.com/,true,AppFolio,https://caldwellaz.com/tenants/pay-rent/,,,pay rent (link) via page-source,
Campus Connection Property Management,campus-connection,https://www.secondnature.com/property-management/campus-connection,2026-03-13,http://www.oregoncampusrentals.com/,true,Rentvine,https://campusconnectionpropertymanagement.rentvine.com/portals/resident/,,,tenant login (link),
Capital Property Management,capital,https://www.secondnature.com/property-management/capital,2026-03-13,http://capitalpm.co/,true,AppFolio,https://capitalpm.appfolio.com/connect,,,make a payment (link),
Cardinal Property Solutions,cardinal,https://www.secondnature.com/property-management/cardinal,2026-03-13,http://www.rentfromcardinal.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Carolina Moves,carolina-moves,https://www.secondnature.com/property-management/carolina-moves,2026-03-13,http://www.carolinamovespm.com/,true,AppFolio,https://rentalpm.appfolio.com/connect/users/sign_in?portfolio_uuid=07bc0b2b-47de-11ec-9e39-0243f00d950f,,,tenant login (link),
Carolina's Best Rental Homes,carolinas-best-rental-homes,https://www.secondnature.com/property-management/carolinas-best-rental-homes,2026-03-13,http://carolinasbestrentalhomes.com/,true,Buildium,https://carolinasbest.managebuilding.com/Resident/public/home,,,resident log in (link),
Carolinas Dynamic Realty,carolinas-dynamic,https://www.secondnature.com/property-management/carolinas-dynamic,2026-03-13,http://www.rentcharlotteproperty.com/,true,Rentvine,,,,,
The Cavalieri Property Management,cavalieri,https://www.secondnature.com/property-management/cavalieri,2026-03-13,http://thecavalierigroup.com/,true,Likely: thecavalierigroup.com,https://thecavalierigroup.com/m/login?r=%2Fm%2Faccount,,,sign in — unidentified portal,
Cavalry Property Solutions LLC,cavalry,https://www.secondnature.com/property-management/cavalry,2026-03-13,,false,Confirmed None,,,,no website found,
CB Isaac Realty,cb-isaac-realty,https://www.secondnature.com/property-management/cb-isaac-realty,2026-03-13,http://www.cbisaacrealty.com/,true,Likely: cbisaacrealty.com,https://www.cbisaacrealty.com/#login,,,login or signup — unidentified portal,
Coldwell Banker Sunstar,cb-sunstar,https://www.secondnature.com/property-management/cb-sunstar,2026-03-13,http://cbsunstar.com/,false,Confirmed None,,,,exhaustive check — no portal found,
CB Real Estate Property Management,cbre,https://www.secondnature.com/property-management/cbre,2026-03-13,http://cbrealestatepropertymanagement.com/,true,AppFolio,https://cbrealestatepropertymanagement.com/Tenant-Portal,AppFolio,https://cbrealestatepropertymanagement.com/Owner-Statements,tenant portal (link) via page-source,
Cedar Oaks Management,cedar-oaks,https://www.secondnature.com/property-management/cedar-oaks,2026-03-13,http://cedaroaksmanagement.com/,true,AppFolio,https://www.cedaroaksmanagement.com/residents,AppFolio,https://www.cedaroaksmanagement.com/services,log in (link) via page-source,
Cedar Ridge Management,cedar-ridge-mgmt,https://www.secondnature.com/property-management/cedar-ridge-mgmt,2026-03-13,http://www.cedarridgemgmt.com/,true,AppFolio,,,,,
Central Property Services,central-property-services,https://www.secondnature.com/property-management/central-property-services,2026-03-13,http://www.centralrentalhub.com/,true,AppFolio,,,,,
Century21 Integra,century21-integra,https://www.secondnature.com/property-management/century21-integra,2026-03-13,http://www.c21integra.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Charterhill Rentals,charterhill-rentals,https://www.secondnature.com/property-management/charterhill-rentals,2026-03-13,http://www.charterhillrentals.com/,true,AppFolio,http://www.charterhillrentals.com/,,,page source scan,
Chesson Property Management,chesson,https://www.secondnature.com/property-management/chesson,2026-03-13,http://www.chessonagency.com/rental-properties.html,true,AppFolio,http://www.chessonagency.com/rental-properties.html,,,page source scan,
Chicago Turnkey Properties,chicago-turnkey-prop,https://www.secondnature.com/property-management/chicago-turnkey-prop,2026-03-13,http://www.chicagoturnkeyproperties.com/,true,AppFolio,https://passport.appf.io/sign_in?idp_type=tportal&vhostless=true,Rent Manager,https://abctc.owa.rentmanager.com/#/login?returnUrl=%2Fdashboard&locations=Default,resident login (link) via page-source,
Choice Properties,choice-properties,https://www.secondnature.com/property-management/choice-properties,2026-03-13,http://www.irentforyoucharlotte.com/,true,Rentvine,https://choiceproperties.rentvine.com/portals/resident/,,,tenant login (link),
CityPlace Property Management,city-place,https://www.secondnature.com/property-management/city-place,2026-03-13,http://cityplaceindy.com/,true,Propertyware,https://app.propertyware.com/pw/index.html#/login/tenant/cityplacepropertymanagement1,Propertyware,https://app.propertyware.com/pw/index.html#/login/owner/cityplacepropertymanagement1,tenant portal (link),
CLB Property Management,clb,https://www.secondnature.com/property-management/clb,2026-03-13,http://www.rentdaytonaonline.com/,true,Propertyware,https://app.propertyware.com/pw/index.html#/login/tenant/rentdaytonaonline,Propertyware,https://app.propertyware.com/pw/index.html#/login/owner/rentdaytonaonline,tenant portal (link),
Clover Property Management,clover,https://www.secondnature.com/property-management/clover,2026-03-13,http://www.cloverpm.com/,true,AppFolio,https://cloverpm.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v3&utm_campaign=pay_rent_button,AppFolio,https://cloverpm.appfolio.com/connect/users/sign_in?a=cw&utm_source=apmsites_v3&utm_campaign=pay_rent_button,pay rent (link),
Coldwell Banker Pryor Realty,coldwell-banker-pryor,https://www.secondnature.com/property-management/coldwell-banker-pryor,2026-03-13,http://www.chattanoogapropertymanager.com/,true,Buildium,https://coldwellbankerpryorrealty.managebuilding.com/Resident/PublicPages/login.aspx,,,tenant login (link),
Coldwell Banker Park Shore Property Management,coldwell-park-shore,https://www.secondnature.com/property-management/coldwell-park-shore,2026-03-13,http://parkshorerentals.com/,true,AppFolio,https://www.parkshorerentals.com/pay-rent-online,AppFolio,https://www.parkshorerentals.com/owner-statement,pay rent online (link) via page-source,
Collaborate Real Estate Group,collaborate-reg,https://www.secondnature.com/property-management/collaborate-reg,2026-03-13,http://collabreg.com/,true,AppFolio,,,,,
Colorado Realty and Property Management Inc.,colorado-realty,https://www.secondnature.com/property-management/colorado-realty,2026-03-13,http://www.coloradorpm.com/,true,Rentvine,https://account.rentvine.com/auth/login,Rentvine,https://account.rentvine.com/auth/login,pay rent (link),
"Colorado Realty and Property Management, Inc.",coloradorealty,https://www.secondnature.com/property-management/coloradorealty,2026-03-13,http://www.coloradorpm.com/,true,Rentvine,https://account.rentvine.com/auth/login,Rentvine,https://account.rentvine.com/auth/login,pay rent (link),
Concord Realty,concord-realty,https://www.secondnature.com/property-management/concord-realty,2026-03-13,http://www.concordrealty.net/,false,Error,,,,site unreachable,
Cornerstone Real Estate Team,cornerstone,https://www.secondnature.com/property-management/cornerstone,2026-03-13,http://www.callcornerstone.com/,true,Buildium,https://cret.managebuilding.com/Resident/PublicPages/Home.aspx?ReturnUrl=%2fResident%2f,,,tenant login (link),
Cornerstone Management Group,cornerstone-management,https://www.secondnature.com/property-management/cornerstone-management,2026-03-13,http://cornerstonemgtgroup.com/,true,AppFolio,,,,,
Costello Realty & Management,costello-realty,https://www.secondnature.com/property-management/costello-realty,2026-03-13,http://www.costellomgmt.com/,true,AppFolio,https://www.costellomgmt.com/tenant/tenant-portal,AppFolio,https://www.costellomgmt.com/owner/owner-statement,tenant portal (link) via page-source,
CPMI,cpmi,https://www.secondnature.com/property-management/cpmi,2026-03-13,http://cpmiinc.com/,true,Rent Manager,https://cpmillc.twa.rentmanager.com/,,,pay rent online (link),
Darth Properties,darth-properties,https://www.secondnature.com/property-management/darth-properties,2026-03-13,http://www.darthproperties.com/,true,AppFolio,https://www.darthproperties.com/tenants,,,tenants (link) (source scan),
Deacon and Soldier Properties,deacon-and-soldier,https://www.secondnature.com/property-management/deacon-and-soldier,2026-03-13,http://deaconandsoldierproperties.com/,true,Propertyware,https://app.propertyware.com/pw/portals/deaconandsoldierpropertiesllc/tenant.action,Propertyware,https://app.propertyware.com/pw/portals/deaconandsoldierpropertiesllc/owner.action,tenant portal (link),
DECA Realty Company,deca-realty,https://www.secondnature.com/property-management/deca-realty,2026-03-13,http://www.decarealty.com/,true,Rentvine,https://account.rentvine.com/auth/login,Rentvine,https://decapm.rentvine.com/portals/owner/,how to pay rent (link),
DeLex Realty,delex,https://www.secondnature.com/property-management/delex,2026-03-13,http://www.jessiecollier.com/,true,Rentvine,,,,,
Triple Win Property Management,demo-profile-page,https://www.secondnature.com/property-management/demo-profile-page,2026-03-13,,false,Confirmed None,,,,no website found,
DeSantis Property Management,desantis,https://www.secondnature.com/property-management/desantis,2026-03-13,http://desantispropertymanagement.com/,true,AppFolio,,,,,
DeSelms Real Estate,deselms,https://www.secondnature.com/property-management/deselms,2026-03-13,http://deselmsrealestate.com/,true,Likely: deselmsrealestate.com,https://www.deselmsrealestate.com/login/,,,my account — unidentified portal,
DHC Property Management,dhc,https://www.secondnature.com/property-management/dhc,2026-03-13,http://dhcpropertymanagement.com/,true,Rentvine,,,,,
Dickson Realty,dickson-realty,https://www.secondnature.com/property-management/dickson-realty,2026-03-13,http://www.renospropertymanagement.com/,true,AppFolio,,,,,
Distinctive Real Estate,distinctive-re,https://www.secondnature.com/property-management/distinctive-re,2026-03-13,http://distinctiveslidell.com/,true,AppFolio,https://www.distinctiveslidell.com/login,,,resident login (link) via page-source,
Dix Road Property Management,dix-road,https://www.secondnature.com/property-management/dix-road,2026-03-13,http://bbrents.com/,true,AppFolio,https://bbrents.com/tenant-portal/,,,resident portal (link) via page-source,
Don Johnson Company,don-johnson-company,https://www.secondnature.com/property-management/don-johnson-company,2026-03-13,http://www.realsa.com/,true,AppFolio,http://www.realsa.com/,,,page source scan,
